"This the the original data from Richard P. Rumelt, Strategy, Structure, and Economic Performance,",,,,,,,
"updated to extend to 1974. The rank column shows ranks in only 1949,1959, 1969,and 1974. ",,,,,,,
"The 1949 ranks are exact for 1-99, 100-200 are marked 200, and 300-500 are marked 500.",,,,,,,
"In500  = 1 when the firm was in the top 500, and 0 when it was smaller than that. ",,,,,,,
Data begins and ends in 1949 and 1974 unless the firm was formed after 1949 and/or was acquired or otherwise disappeared before 1974.,,,,,,,
Change the extension to CSV to open as a spreadsheet.,,,,,,,

Name,Symbol,SIC,Year,In 500,Rank,Strategy,Structure
AIRCO INC,AN,2803,1966,1,--,RL,PD
AIRCO INC,AN,2803,1967,1,--,RL,PD
AIRCO INC,AN,2803,1968,1,--,RL,PD
AIRCO INC,AN,2803,1969,1,355,RL,PD
AIRCO INC,AN,2803,1970,1,--,RL,PD
AIRCO INC,AN,2803,1971,1,--,RL,PD
AIRCO INC,AN,2803,1972,1,--,RL,PD
AIRCO INC,AN,2803,1973,1,--,RL,PD
AIRCO INC,AN,2803,1974,1,254,RL,PD
AKZONA,AXO,2803,1949,1,500,SB,FU
AKZONA,AXO,2803,1950,1,--,SB,FU
AKZONA,AXO,2803,1951,1,--,SB,FU
AKZONA,AXO,2803,1952,1,--,SB,FU
AKZONA,AXO,2803,1953,1,--,SB,FU
AKZONA,AXO,2803,1954,1,--,SB,FU
AKZONA,AXO,2803,1955,1,--,SB,FU
AKZONA,AXO,2803,1956,1,--,SB,FU
AKZONA,AXO,2803,1957,1,--,SB,FU
AKZONA,AXO,2803,1958,1,--,DU,FU
AKZONA,AXO,2803,1959,1,366,DU,FS
AKZONA,AXO,2803,1960,1,--,DU,FS
AKZONA,AXO,2803,1961,1,--,DU,PD
AKZONA,AXO,2803,1962,1,--,DU,PD
AKZONA,AXO,2803,1963,1,--,DU,PD
AKZONA,AXO,2803,1964,1,--,DU,PD
AKZONA,AXO,2803,1965,1,--,DU,PD
AKZONA,AXO,2803,1966,1,--,DU,PD
AKZONA,AXO,2803,1967,1,--,DU,PD
AKZONA,AXO,2803,1968,1,--,DU,PD
AKZONA,AXO,2803,1969,1,355,DU,PD
AKZONA,AXO,2803,1970,1,--,UC,PD
AKZONA,AXO,2803,1971,1,--,UC,PD
AKZONA,AXO,2803,1972,1,--,UC,PD
AKZONA,AXO,2803,1973,1,--,UC,PD
AKZONA,AXO,2803,1974,1,254,UC,PD
ALCO STANDARD,ASN,5199,1952,0,--,DC,FU
ALCO STANDARD,ASN,5199,1953,0,--,DC,FU
ALCO STANDARD,ASN,5199,1954,0,--,DC,FU
ALCO STANDARD,ASN,5199,1955,0,--,DC,FU
ALCO STANDARD,ASN,5199,1956,0,--,DC,FU
ALCO STANDARD,ASN,5199,1957,0,--,DC,FU
ALCO STANDARD,ASN,5199,1958,0,--,DC,FU
ALCO STANDARD,ASN,5199,1959,0,0,DC,FU
ALCO STANDARD,ASN,5199,1960,0,--,DC,FU
ALCO STANDARD,ASN,5199,1961,0,--,DC,FU
ALCO STANDARD,ASN,5199,1962,0,--,DC,FU
ALCO STANDARD,ASN,5199,1963,0,--,DC,FU
ALCO STANDARD,ASN,5199,1964,0,--,DC,HC
ALCO STANDARD,ASN,5199,1965,0,--,UP,HC
ALCO STANDARD,ASN,5199,1966,0,--,UP,HC
ALCO STANDARD,ASN,5199,1967,0,--,UP,HC
ALCO STANDARD,ASN,5199,1968,0,--,UP,HC
ALCO STANDARD,ASN,5199,1969,1,306,UP,HC
ALCO STANDARD,ASN,5199,1970,1,--,UP,HC
ALCO STANDARD,ASN,5199,1971,1,--,UP,HC
ALCO STANDARD,ASN,5199,1972,1,--,UP,HC
ALCO STANDARD,ASN,5199,1973,1,--,UP,HC
ALCO STANDARD,ASN,5199,1974,1,203,UP,HC
ALLIS CHALMERS CORP,AH,3522,1949,1,65,RL,PD
ALLIS CHALMERS CORP,AH,3522,1950,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1951,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1952,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1953,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1954,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1955,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1956,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1957,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1958,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1959,1,80,RL,PD
ALLIS CHALMERS CORP,AH,3522,1960,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1961,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1962,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1963,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1964,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1965,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1966,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1967,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1968,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1969,1,140,RL,PD
ALLIS CHALMERS CORP,AH,3522,1970,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1971,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1972,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1973,1,--,RL,PD
ALLIS CHALMERS CORP,AH,3522,1974,1,158,RL,PD
ALUMINIUM COMPANY OF AMERICA,AA,3334,1949,1,28,DV,FS
ALUMINIUM COMPANY OF AMERICA,AA,3334,1950,1,--,DV,FS
ALUMINIUM COMPANY OF AMERICA,AA,3334,1951,1,--,DV,FS
