category,order,title,authors,year,journal,description,file,bib,bib-type,web-link
article,8,Management Lessons from the Financial Crisis,Richard P. Rumelt,2009,McKinsey Quarterly,"Conversation examining management implications of the global financial crisis, including corporate governance, risk management, and the role of strategic leadership. With Lowell Bryan and Allen P. Webb.",articles/management lessons from the financial crisis a conversation with lowell bryan and richard rumelt.pdf,"Rumelt, Richard P. ""Management Lessons from the Financial Crisis."" McKinsey Quarterly, 2009.",Professional Articles,
article,9,Weighing the US Government's Response to the Crisis,Richard P. Rumelt,2009,McKinsey Quarterly,A dialogue examining the effectiveness and long-term implications of US government interventions during the financial crisis.,articles/weighing the us governments response to the crisis a dialogue.pdf,"Rumelt, Richard P. ""Weighing the US Government's Response to the Crisis."" McKinsey Quarterly, 2009.",Professional Articles,
article,10,Strategy in a Structural Break,Richard P. Rumelt,2008,McKinsey Quarterly,"Discusses how major shifts in economic or technological conditions (""structural breaks"") alter competitive landscapes and require organizations to reconsider existing strategies and assumptions.",articles/Strategy in a structural break.pdf,"Rumelt, Richard P. ""Strategy in a Structural Break."" McKinsey Quarterly, 2008.",Professional Articles,
article,11,Strategy's Strategist: An Interview with Richard Rumelt,Richard P. Rumelt,2007,McKinsey Quarterly,"An interview discussing Rumelt's views on the nature of strategy, including the importance of diagnosing the core problem and distinguishing strategy from planning or goal setting. With Dan P. Lovallo and Lenny T. Mendonca.",articles/strategys strategist an interview with richard rumelt.pdf,"Rumelt, Richard P. ""Strategy's Strategist: An Interview with Richard Rumelt."" McKinsey Quarterly, 2007.",Professional Articles,
article,12,The Honda Effect Revisited,Richard P. Rumelt,1996,California Management Review,"Revisits the debate about Honda's entry into the U.S. motorcycle market and the broader question of deliberate versus emergent strategy. With Henry Mintzberg, Richard Pascale, and Michael Goold.",articles/Honda-Effect.pdf,"Rumelt, Richard P., and Henry Mintzberg, Richard T. Pascale, Michael Goold. ""The Honda Effect Revisited."" California Management Review, 1996.",Professional Articles,
article,13,Understanding Business Model Reinvention,Richard P. Rumelt,2024,PwC Briefing Memo,Describes a means of organizing and presenting issues in business model reinvention,articles/Understanding Business Model Reinvention.pdf,"Rumelt, Richard P. ""Understanding Business Model Reinvention."" PwC Briefing Memo, 2024.",Professional Articles,
article,14,Your Business Model Reinvention Journey: Where to Begin,Richard P. Rumelt,2024,PwC Briefing Memo,Business model reinvention begins with an assessment of your current business model and those used by competitors as well as by your industry as a whole. ,articles/Your Business Model Reinvention Journey Where to Begin.pdf,"Rumelt, Richard P. ""Your Business Model Reinvention Journey: Where to Begin."" PwC Briefing Memo, 2024.",Professional Articles,
article,15,The Reinvention Journey: Finding Opportunities in the Storm,Richard P. Rumelt,2024,PwC Briefing Memo,"Today, each megatrend is both accelerating and changing in character. Together, they are colliding to create an era of turbulent change. This new era poses both great risks and significant opportunities.",articles/The Reinvention Journey-Finding Opportunity in The Storm.pdf,"Rumelt, Richard P. ""The Reinvention Journey: Finding Opportunities in the Storm."" PwC Briefing Memo, 2024.",Professional Articles,
article,16,Lessons From Past Technological Disruptions,Richard P. Rumelt,2024,PwC Briefing Memo,What lessons can we learn from past technological disruptions? This note examines seven technological disruptions occurring in the last thirty years. ,articles/Lessons From Past Technological Disruptions.pdf,"Rumelt, Richard P. ""Lessons From Past Technological Disruptions."" PwC Briefing Memo, 2024.",Professional Articles,
article,17,Your Business Model Reinvention Journey: Dealing with Inertia,Richard P. Rumelt,2024,PwC Briefing Memo,"What makes organizational change so difficult? In a word, organizations have inertia. ",articles/Your Business Model Reinvention Journey-Dealing with Inertia.pdf,"Rumelt, Richard P. ""Your Business Model Reinvention Journey: Dealing with Inertia."" PwC Briefing Memo, 2024.",Professional Articles,
